Main.lean:1:0: error: expected command
Main.lean:102:4: warning: declaration uses 'sorry'
Main.lean:105:4: warning: declaration uses 'sorry'
Main.lean:108:4: warning: declaration uses 'sorry'
Main.lean:259:4: warning: declaration uses 'sorry'
Main.lean:279:8: warning: declaration uses 'sorry'
Main.lean:296:8: warning: declaration uses 'sorry'
Main.lean:311:8: warning: declaration uses 'sorry'
Main.lean:336:4: warning: declaration uses 'sorry'
Main.lean:343:4: warning: declaration uses 'sorry'
Main.lean:347:4: warning: declaration uses 'sorry'
Main.lean:350:4: warning: declaration uses 'sorry'
Main.lean:353:4: warning: declaration uses 'sorry'
Main.lean:367:4: warning: declaration uses 'sorry'
Main.lean:389:4: warning: declaration uses 'sorry'
Main.lean:399:4: warning: declaration uses 'sorry'
Main.lean:421:4: warning: declaration uses 'sorry'
Main.lean:428:4: warning: declaration uses 'sorry'
Main.lean:432:4: warning: declaration uses 'sorry'
Main.lean:446:4: warning: declaration uses 'sorry'
Main.lean:451:4: warning: declaration uses 'sorry'
Main.lean:477:4: warning: declaration uses 'sorry'
Main.lean:487:4: warning: declaration uses 'sorry'
Main.lean:504:4: warning: declaration uses 'sorry'
Main.lean:515:4: warning: declaration uses 'sorry'
Main.lean:528:4: warning: declaration uses 'sorry'
Main.lean:529:4: warning: declaration uses 'sorry'
Main.lean:530:4: warning: declaration uses 'sorry'
Main.lean:572:4: warning: declaration uses 'sorry'
Main.lean:576:4: warning: declaration uses 'sorry'
Main.lean:580:8: warning: declaration uses 'sorry'
Main.lean:637:4: warning: declaration uses 'sorry'
Main.lean:666:4: warning: declaration uses 'sorry'
Main.lean:753:4: warning: declaration uses 'sorry'
Main.lean:1115:4: warning: declaration uses 'sorry'
